avis_clean,predicted_category
j ai été très déçue par cette mutuelle j etais en dépression et bien évidemment en arret donc arret maladie et suivi par un psychiatre je n avais pas la tête dans les papiers avec les médicaments et autres quand je commençais à aller mieux j ai contactée la mgen pour la prévoyance suite à la perte de salaire je leurs ai expliqué mon problème et ils ont rien voulu comprendre soit disant que j ai dépassé le délai pour la demande,remboursement
la pire mutuelle qui soit !!! apres une dizaine d appel et de réclamation le problème de télétransmission n est toujours pas réglé ! met des mois pour traiter une demande...manque de professionnalisme ! je paie une mutuelle qui finalement n honore pas sa part du contrat !,remboursement
"bonne assurance tant que l'on a pas besoin de ses services... les prix sont bas, il est vrai, mais chaque intervention de leur part est assortie de franchises exorbitantes. a quoi bon payer légèrement moins cher à la souscription, si c'est pour payer + cher à l'usage?!",service client
"il m'a envoyez un avis pour augmenter le prix le 19/04/2017. je n'ai pas revoir le avis par lettre normal ou lettre recommender. je suis pas d'accord à ce changement. mais il est pris en compte si je réponds pas dans 20 jours. il est 23/05/2017 aujourd'hui, mon échéance est 19/07/2017, je peux plus résilier même je suis pas d'accord avec le nouveau prix car il est obligatoire de résilier 2 mois avant le date d'échéance.",service client
pour le moment aucun soucis. j’espère que ça va durer dans le temps. j’ai appelé une fois pour recevoir ma vignette et ça été réglé dans les plus bref délais ?,service client
si paiement cotisation mensuelle plus de 100 euros de plus qu'un paiement annuel ce n'est pas normal vous ne devriez pas appliquer cette différence ou alors moindre,tarifs
"le service clientèle est satisfaisant pour le moment, je ne peux pas trop juger étant nouvelle cliente, pour ce qui est de la souscription, le personnel est à l'écoute et rapide, je verrais par la suite si j'ai un sinistre mais je ne peux pas évaluer pour le moment.",service client
j ai eu un accident en algérie le mercredi 28.12.2016 vers 14h et je devais reprendre le bateau d'oran le jeudi 29.12 à 12h à 500 km de mon domicile en algérie. sitôt appelé la maif en france à peine 15 mn j'ai eu le représentant de la maif en algérie qui a chargé sur le champ un transporteur d'emmener moi et ma voiture au port d'oran. non seulement j'ai pu prendre le bateau le lendemain mais la maif s'est charge de la réception de mon véhicule à marseille et a mis à ma disposition une voiture pour rentrer sur dijon. je tiens à remercier la maif pour le sérieux et l'attention qu'elle a porté à ce sinistre. la rapidité dont a fait preuve la maif a étonné l'ensemble des personnes auxquelles j'ai raconté cette mésaventure. je tiens à remercier l'ensemble des personnes qui ont contribuer au suivi de ce dossier jusqu'à ce soir ainsi qu'a l'ensemble du personnel du groupe maif.,remboursement
"que dire : les prix pourraient être moins élévés, quand on est déjà client et que l'on a plusieurs contrats... cela serait bien de récompensé notre fidélité.",service client
"client chez eux depuis 15 ans (j'ai suivi naturellement l'assureur de mes parents après la conduite accompagnée), premier déplacement en agence maif et le dernier. tous mes contrats et ceux de ma compagne sont résiliés ! voici l'histoire : devis en ligne, prix exorbitant demandé pour une audi (+1600€ d'assurance) alors que les autres assureurs sont plutôt autour de 900/1000€. je me déplace donc en agence, quand j'essaie d'obtenir une petite ristourne étant client depuis 15 ans, ayant déjà 2 voitures+habitation et aucun sinistre déclaré depuis (0, nada, peut être 1 bris de glace il y 7/8 ans), la conseillère me répond que ""les tarifs sont calculés au plus juste et qu'aucune ristourne n'est consentie"". celle-ci met ensuite mon profil à jour qui en était resté à ""étudiant"". et ses petits yeux s'illuminent quand j'indique que nous sommes 2 cadres du secteur privé et essaye illico de me vendre de l'assurance vie, une assurance décès etc...etc.. la bonne blague 2 minutes après m'avoir dit que je n'aurai pas 1€ de ristourne sur une berline premium ! et le pire vous passez du coq à l'ane en 30 secondes (assurance auto, vie, décès tout y passe), on vous balance les feuillets de présentation et la signature doit suivre. il est inadmissible d'avoir de tels conseillers aussi peu formés qui vous demandent votre patrimoine au milieu d'un open space! inadmissible ! plus jamais chez vous, vous n'aurez pas mon argent",service client
"ayant des difficultés pour transmettre un document pour un remboursement, j'ai demandé une assistance téléphonique. votre conseillère madame widad a été très disponible, patiente avec une personne âgée comme moi et extrêmement efficace et sympathique. si jamais j'avais besoin d'autres renseignements j'aimerais l'avoir au bout du fil encore une fois ...",remboursement
"je suis satisfaite du prix et de l’accueil téléphonique, professionnel et polis . je parle de mon assureur à mes proches pour qu’il s’y inscrive aussi à leurs tour merci pour votre gentillesse et politesse !",service client
merci à sarah pour sa gentillesse et son professionnalisme.,remboursement
"j’ai trouvé la souscription relativement simple les trois propositions de contrat sont compétitives et claires le questionnaire et très simple à répondre ,parfait",couverture
le prix me convient. le système est simple et pratique. plusieurs personnes me l'ont conséillé. bon avis du départ. on espère que cela restera comme ca en cas d'un problème!,service client
"bonjour,je paye actuellement 517 euros,avec les meme garanties mes enfants seront intéressé aussi de venir chez direct assurance il vafaloir qu’il fassent un devis sur le site de direct assurance",service client
"pour moi le meilleur assureur en ce moment et une équipe très à l'écoute et compétente. je vais bien sur le proposer à mes proches et la rapidité est surprenante, très satisfaite",couverture
cette assurance fait tout pour vous décourager afin d obtenir votre indemnisation !,service client
"délais de remboursement excessif, aucune note de remboursement , lorsque qu'il y a remboursement il est global aucun détail, on ne sait pas à quoi cela correspond c'est le foutoir, et on ne parle pas du téléphone c'est une galère pour les obtenir........ à fuir",remboursement
cardif un cauchemar . ca commence avec le service médical qui vous harcèle de courrier et ca s'empire avec le suivi de gestion ou les cotisations changent au bout de 3 mois sans raison de 71€ à 339€,tarifs
